Ville;Region;GES;AirQ;Espaces_publics;Densite_routes;Voyage_vert;Equip_vehicule;Eau;Dechet;Pol_Durable;Score
Stockholm;Europe;0,83;6;47,7;1,3;53;0,2;140;0,38;4;67
Oslo;Europe;1,4;8;20,5;0,3;67;0,7;160;0,32;4;66
Copenhagen;Europe;0,89;10;24,8;0,3;67;0,8;108;0,41;3;65
Lahti;Europe;2,24;4;15,7;0,2;46;0,7;121;0,28;4;65
London;Europe;2,3;10;39;1,7;62;0,8;149;0,33;5;64
Helsinki;Europe;6,18;6;34,3;0,9;80;0,9;139;0,27;3;62
Tokyo;Asia   Oceania;1,42;9;3,5;1,1;69;0,5;320;0,23;4;60
Vancouver;North America;3,49;6;11,3;5,9;44;1,1;430;0,19;5;59
Toronto;North America;4,83;7;12,7;5,3;41;1;230;0,3;5;56
Berlin;Europe;2,51;13;8,1;1,8;69;0,6;110;0,51;5;56
Ottawa;North America;5,76;8;1,8;4,5;45;1,2;275;0,2;4;56
Cape Town;Africa;1,99;14;20,7;4,8;47;0,7;138;0,25;4;55
Madrid;Europe;1,9;9;6,7;1,3;60;0,2;214;0,33;3;55
Curitiba;Central   South America;1,56;6;5,5;1,1;53;1,7;143;0,33;4;55
Accra;Africa;0,65;26;0,6;0,8;84;0,9;90;0,24;2;54
San Francisco;North America;4,17;7;13;4,7;52;1,2;158;0,4;4;54
Paris;Europe;1,54;14;3,7;1,9;88;1,1;150;0,42;4;53
Halifax;North America;5,22;8;7,8;0,7;23;0,9;435;0,23;3;53
New York City;North America;4,19;7;9,3;3,5;62;0,7;442;0,39;4;53
Montreal;North America;4,37;10;8,6;5,4;50;0,8;135;0,37;3;53
Edmonton;North America;8,72;7;8,3;5,9;22;1,6;179;0,31;4;52
Calgary;North America;7,61;6;15,9;6,3;25;1,7;362;0,57;5;52
Rio de Janeiro;Central   South America;1,59;8;3;3,1;76;1;301;0,26;3;52
Washington;North America;4,69;9;19;4,5;53;0,8;130;0,63;3;52
Seoul;Asia   Oceania;2,18;20;27,8;4,6;72;0,7;305;0,32;5;51
Sydney;Asia   Oceania;2,79;10;2,3;6;53;0,7;200;0,27;2;51
Medellin;Central   South America;0,86;15;2,4;1,9;66;0,4;211;0,36;3;49
Moscow;Europe;1,44;12;8,3;2,3;72;0,7;248;0,64;3;49
Los Angeles;North America;3,52;14;25;2,9;18;1,7;295;0,35;4;48
Beijing;Asia   Oceania;4,39;13;2,4;0,5;76;0,9;490;0,35;3;47
Mexico City;Central   South America;2,36;20;59;1,3;42;0,7;320;0,25;4;47
Seattle;North America;5,53;6;7,8;2,4;39;1,3;321;0,41;2;47
Dhaka;Asia   Oceania;0,52;78;1,3;1,7;73;0,1;150;0,14;1;47
Shenzhen;Asia   Oceania;3,2;18;40,9;0,7;74;0,6;166;0,56;3;47
Buenos Aires;Central   South America;4,35;14;9,4;2,1;74;1,6;455;0,51;5;46
Bogota;Central   South America;1,42;14;6,3;2,4;75;0,9;130;0,36;1;46
Canberra;Asia   Oceania;4,34;16;14,5;1,5;20;0,9;300;0,53;5;46
Minneapolis;North America;6,83;11;6,1;3,5;24;1,3;196;0,31;2;45
Houston;North America;8,54;11;4;1,9;8;1,6;261;0,36;3;45
Lagos;Africa;1,08;68;0,5;0,8;89;0,9;35;0,19;1;45
Chicago;North America;5,9;13;8,5;3,5;35;1;246;0,37;3;45
Sao Paulo;Central   South America;1,02;15;1,7;2,5;66;1,3;180;0,32;2;44
Dar es Salaam;Africa;;29;0,9;0,9;82;0,7;138;0,2;1;43
Mumbai;Asia   Oceania;0,72;45;1,8;1,3;78;0,9;92;0,2;0;43
Singapore;Asia   Oceania;9,18;14;7,5;4,8;67;0,5;141;0,86;2;42
Istanbul;Europe;1,97;17;3,1;0,5;71;0,9;189;0,48;2;42
Johannesburg;Africa;1,7;22;13,5;7,5;57;1,5;305;0,26;2;39
Guangzhou;Asia   Oceania;3,13;55;19,8;0,3;96;0,6;530;0,3;1;38
Shanghai;Asia   Oceania;7,66;28;16,2;0,9;73;0,5;411;0,58;1;33
Tianjin;Asia   Oceania;11,98;36;0,9;0,8;71;0,6;115;0,4;1;33
